Id,Prediction
0,fake
1,fake
2,real
3,real
4,real
5,fake
6,real
7,real
8,fake
9,real
10,real
11,fake
12,fake
13,fake
14,fake
15,real
16,fake
17,fake
18,fake
19,fake
20,real
21,fake
22,fake
23,fake
24,fake
25,real
26,real
27,fake
28,fake
29,real
30,fake
31,fake
32,fake
33,fake
34,real
35,fake
36,real
37,real
38,fake
39,fake
40,fake
41,fake
42,real
43,real
44,real
45,real
46,real
47,real
48,fake
49,fake
50,real
51,real
52,real
53,fake
54,real
55,fake
56,real
57,real
58,fake
59,fake
60,real
61,real
62,fake
63,real
64,fake
65,real
66,fake
67,fake
68,real
69,real
70,fake
71,real
72,real
73,fake
74,fake
75,fake
76,real
77,fake
78,fake
79,real
80,fake
81,real
82,real
83,fake
84,real
85,real
86,real
87,real
88,fake
89,fake
90,real
91,fake
92,fake
93,real
94,fake
95,fake
96,real
97,fake
98,real
99,fake
100,real
101,real
102,real
103,fake
104,real
105,real
106,fake
107,real
108,real
109,real
110,real
111,fake
112,fake
113,fake
114,real
115,real
116,fake
117,real
118,real
119,real
120,fake
121,fake
122,real
123,fake
124,real
125,fake
126,fake
127,fake
128,real
129,real
130,fake
131,real
132,real
133,fake
134,real
135,fake
136,real
137,fake
138,fake
139,fake
140,real
141,fake
142,real
143,fake
144,real
145,real
146,fake
147,real
148,fake
149,fake
150,real
151,real
152,real
153,fake
154,real
155,real
156,real
157,real
158,fake
159,real
160,real
161,fake
162,fake
163,fake
164,real
165,real
166,real
167,fake
168,fake
169,fake
170,real
171,fake
172,real
173,fake
174,fake
175,real
176,real
177,real
178,real
179,real
180,fake
181,real
182,real
183,fake
184,real
185,fake
186,real
187,real
188,real
189,fake
190,real
191,real
192,real
193,fake
194,real
195,fake
196,fake
197,real
198,fake
199,real
200,real
201,fake
202,real
203,fake
204,real
205,fake
206,fake
207,fake
208,fake
209,fake
210,fake
211,real
212,real
213,fake
214,real
215,real
216,real
217,real
218,fake
219,fake
220,real
221,fake
222,real
223,real
224,fake
225,real
226,fake
227,real
228,fake
229,real
230,fake
231,fake
232,real
233,fake
234,fake
235,fake
236,real
237,fake
238,fake
239,real
240,real
241,fake
242,fake
243,real
244,real
245,fake
246,real
247,real
248,real
249,fake
250,fake
251,real
252,real
253,real
254,fake
255,fake
256,fake
257,fake
258,fake
259,fake
260,fake
261,fake
262,fake
263,fake
264,real
265,fake
266,fake
267,fake
268,fake
269,real
270,real
271,real
272,real
273,fake
274,real
275,fake
276,fake
277,fake
278,real
279,fake
280,real
281,fake
282,fake
283,real
284,real
285,fake
286,real
287,real
288,fake
289,real
290,real
291,fake
292,real
293,real
294,fake
295,real
296,fake
297,fake
298,fake
299,fake
300,fake
301,fake
302,fake
303,real
304,fake
305,real
306,fake
307,fake
308,real
309,real
310,fake
311,fake
312,fake
313,real
314,real
315,fake
316,fake
317,fake
318,real
319,real
320,fake
321,fake
322,real
323,real
324,fake
325,real
326,real
327,fake
328,fake
329,fake
330,real
331,real
332,real
333,real
334,real
335,fake
336,real
337,real
338,fake
339,fake
340,real
341,fake
342,real
343,real
344,fake
345,fake
346,real
347,fake
348,real
349,real
350,real
351,fake
352,fake
353,fake
354,fake
355,real
356,real
357,real
358,fake
359,fake
360,real
361,real
